Skill / Job Role(Historical trends & salary statistics),Rank6 Months to10 Sep 2020,RankChangeYear-on-Year,Median Salary6 Months to10 Sep 2020,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
Developer,1,+1,"£55,000",+10.00%,"16,014 (30.01%)","4,505"
Agile Software Development,2,-1,"£57,500",+4.54%,"15,433 (28.92%)","2,996"
Finance,3,0,"£65,000",+8.33%,"10,915 (20.46%)","1,709"
JavaScript,4,+2,"£55,000",+10.00%,"10,352 (19.40%)","2,845"
Azure,5,+4,"£57,500",+4.54%,"10,290 (19.28%)","2,163"
SQL,6,-2,"£52,500",+5.00%,"9,747 (18.27%)","1,887"
AWS,7,+6,"£65,000",-,"8,571 (16.06%)","1,769"
Microsoft,8,-3,"£50,000",+11.11%,"8,448 (15.83%)","2,166"
C#,9,-2,"£52,500",+5.00%,"8,082 (15.15%)","1,928"
Python,10,+4,"£65,000",+4.49%,"7,916 (14.84%)","1,618"
Java,11,-3,"£65,000",+6.01%,"7,765 (14.55%)","1,487"
DevOps,12,+6,"£62,500",-0.79%,"7,647 (14.33%)","1,562"
.NET,13,-3,"£55,000",+10.00%,"7,641 (14.32%)","1,782"
Windows,14,-3,"£45,000",+12.50%,"6,271 (11.75%)","1,328"
SQL Server,15,+1,"£50,000",+5.26%,"5,910 (11.08%)","1,240"
HTML,16,+1,"£50,000",+5.26%,"5,783 (10.84%)","1,694"
Software Engineering,17,+3,"£60,000",+9.09%,"5,754 (10.78%)","1,488"
CSS,18,+4,"£50,000",+5.26%,"5,352 (10.03%)","1,552"
Degree,19,-4,"£55,000",+10.00%,"5,307 (9.95%)","1,519"
Linux,20,+1,"£55,000",-,"5,248 (9.84%)","1,240"
Analyst,21,-9,"£45,000",+12.50%,"5,204 (9.75%)",574
Docker,22,+11,"£65,000",-,"4,628 (8.67%)","1,045"
Problem-Solving,23,-4,"£50,000",+5.26%,"4,427 (8.30%)","1,164"
Microservices,24,+17,"£65,000",-3.70%,"4,380 (8.21%)",973
React,25,+21,"£60,000",+4.34%,"4,361 (8.17%)","1,113"
AngularJS,26,+3,"£55,000",+0.91%,"4,284 (8.03%)","1,054"
Scrum,27,-4,"£57,500",+4.54%,"4,277 (8.02%)",755
Git (software),28,-1,"£55,000",+10.00%,"4,149 (7.78%)","1,031"
TDD,29,+2,"£60,000",+9.09%,"4,022 (7.54%)",925
Kubernetes,30,+32,"£67,500",-3.57%,"3,732 (6.99%)",842
